DiseaseName	PMID	Line index	The # of total tokens in sentence	Start position of tagged disease in sentence
ms	pmid: 22641300	3	31	12
ms	pmid: 22641301	3	31	16
ms	pmid: 21762372	6	29	11
ms	pmid: 22013975	2	15	8
ms	pmid: 22013975	3	30	2
ms	pmid: 22013975	5	18	9
ms	pmid: 22264993	3	28	5
ms	pmid: 23458065	4	19	14
ms	pmid: 22734127	7	33	4
ms	pmid: 22734127	9	20	15
ms	pmid: 22792325	3	13	11
ms	pmid: 23728300	5	32	27
ms	pmid: 22907116	3	42	41
ms	pmid: 22907116	4	28	15
ms	pmid: 22907116	5	31	16
ms	pmid: 22907116	10	29	6
ms	pmid: 22902473	3	19	16
ms	pmid: 22902473	9	31	18
ms	pmid: 22622860	3	20	18
ms	pmid: 23192778	3	59	28
ms	pmid: 22193377	2	12	10
ms	pmid: 22193377	3	10	3
ms	pmid: 22623407	3	38	16
ms	pmid: 22654782	3	19	2
ms	pmid: 22654783	4	30	28
ms	pmid: 23097433	3	41	38
ms	pmid: 22016049	4	30	14
ms	pmid: 23483715	3	15	11
ms	pmid: 22672953	3	27	25
ms	pmid: 23235683	2	15	13
ms	pmid: 23235683	10	43	12
ms	pmid: 23235682	3	25	23
ms	pmid: 23235682	9	23	8
ms	pmid: 22904139	3	15	3
ms	pmid: 23837503	2	19	16
ms	pmid: 23837503	3	41	10
ms	pmid: 22118860	3	29	17
ms	pmid: 22341909	2	11	8
ms	pmid: 22341909	3	15	13
ms	pmid: 24179740	4	27	13
ms	pmid: 22361625	11	54	14
ms	pmid: 22524586	3	26	23
ms	pmid: 21963295	4	35	33
ms	pmid: 21988668	3	26	22
ms	pmid: 23637027	3	32	12
ms	pmid: 22554400	9	45	30
ms	pmid: 23819946	2	20	8
ms	pmid: 23819946	3	25	21
ms	pmid: 22517104	3	33	15
ms	pmid: 23039390	5	20	6
ms	pmid: 21880336	3	42	40
ms	pmid: 23153337	3	35	15
ms	pmid: 23730204	2	5	3
ms	pmid: 23730204	3	30	8
ms	pmid: 22123928	3	34	9
ms	pmid: 23439953	3	40	14
ms	pmid: 23439953	4	17	14
ms	pmid: 23124081	10	29	16
ms	pmid: 21840409	2	10	5
ms	pmid: 21840409	3	36	7
ms	pmid: 24250890	3	35	22
ms	pmid: 23020533	2	6	2
ms	pmid: 22939550	3	34	24
ms	pmid: 22939550	4	30	17
ms	pmid: 22939550	6	10	4
ms	pmid: 22939550	15	21	13
ms	pmid: 22939550	16	42	32
ms	pmid: 23240282	9	30	27
ms	pmid: 21865212	3	16	13
ms	pmid: 21865211	2	15	9
ms	pmid: 22762559	10	41	16
ms	pmid: 22133733	3	9	5
ms	pmid: 22319549	4	22	14
ms	pmid: 22099277	2	14	12
ms	pmid: 22099277	3	14	12
ms	pmid: 23385699	7	27	8
ms	pmid: 23673145	4	21	7
ms	pmid: 23390485	3	55	10
ms	pmid: 23233142	2	15	10
ms	pmid: 22764258	3	19	17
ms	pmid: 22764258	6	16	12
ms	pmid: 21924866	3	13	11
ms	pmid: 21973313	6	17	13
ms	pmid: 21973313	12	22	15
ms	pmid: 23160238	6	33	31
ms	pmid: 22083799	3	24	23
ms	pmid: 22354741	2	14	8
ms	pmid: 22354741	3	12	2
ms	pmid: 22354740	2	17	7
ms	pmid: 22354740	3	22	14
ms	pmid: 22113097	2	13	9
ms	pmid: 22113097	4	31	18
ms	pmid: 21228025	3	25	23
ms	pmid: 23516324	3	51	50
ms	pmid: 21975545	3	24	22
ms	pmid: 21400258	3	22	9
ms	pmid: 22041093	2	19	9
ms	pmid: 23437995	5	49	39
ms	pmid: 23139387	2	15	7
ms	pmid: 23139387	3	17	14
ms	pmid: 22304712	9	42	18
ms	pmid: 22050974	6	29	5
ms	pmid: 22316314	2	17	7
ms	pmid: 22316314	4	62	59
ms	pmid: 22316314	5	38	23
ms	pmid: 22316314	7	50	8
ms	pmid: 23919214	4	62	42
ms	pmid: 23061472	6	16	10
ms	pmid: 23011861	4	21	9
ms	pmid: 22204900	13	36	30
ms	pmid: 22739983	4	23	13
ms	pmid: 22897375	2	10	4
ms	pmid: 22897375	3	27	12
ms	pmid: 21878542	3	28	24
ms	pmid: 22095036	2	15	7
ms	pmid: 22095036	3	25	21
ms	pmid: 23838529	3	20	2
ms	pmid: 23838529	12	60	49
ms	pmid: 23510567	4	24	5
ms	pmid: 22108867	2	19	4
ms	pmid: 22108867	3	17	15
ms	pmid: 22108867	4	33	2
ms	pmid: 23677190	2	16	8
ms	pmid: 23677190	3	20	13
ms	pmid: 23677190	6	37	15
ms	pmid: 22029656	3	16	14
ms	pmid: 22171138	2	15	11
ms	pmid: 22171138	4	30	7
ms	pmid: 22219359	9	21	9
ms	pmid: 23262373	3	25	11
ms	pmid: 22140475	4	34	29
ms	pmid: 21615590	3	20	14
ms	pmid: 22379365	4	26	6
ms	pmid: 23001217	3	13	8
ms	pmid: 21556863	4	20	15
ms	pmid: 22171574	2	11	8
ms	pmid: 22171574	3	29	12
ms	pmid: 22119771	2	15	10
ms	pmid: 22119771	3	22	16
ms	pmid: 22670773	3	31	3
ms	pmid: 23318105	3	29	27
ms	pmid: 22921113	3	18	16
ms	pmid: 22994884	5	28	10
ms	pmid: 23650003	2	23	16
ms	pmid: 23650003	3	40	19
ms	pmid: 23650003	4	27	20
ms	pmid: 23650000	3	28	26
ms	pmid: 23029079	3	25	22
ms	pmid: 22328681	2	20	14
ms	pmid: 22328681	3	35	21
ms	pmid: 22328682	3	18	7
ms	pmid: 22328685	3	19	17
ms	pmid: 22685660	3	19	17
ms	pmid: 21613335	5	49	16
ms	pmid: 21613334	4	41	28
ms	pmid: 21613332	2	17	9
ms	pmid: 21613332	3	9	7
ms	pmid: 23209936	4	23	3
ms	pmid: 23209936	8	16	4
ms	pmid: 23209937	2	18	5
ms	pmid: 23209937	4	13	11
ms	pmid: 22810937	2	19	8
ms	pmid: 22810937	3	22	4
ms	pmid: 22810937	5	32	11
ms	pmid: 22168507	3	11	3
ms	pmid: 22168507	6	20	10
ms	pmid: 23984093	6	25	4
ms	pmid: 23485854	2	14	4
ms	pmid: 23485854	3	8	4
ms	pmid: 23485854	6	12	6
ms	pmid: 23485854	7	30	9
ms	pmid: 23485854	11	51	48
ms	pmid: 23485854	14	10	7
ms	pmid: 21951011	3	29	7
ms	pmid: 21951010	3	18	16
ms	pmid: 21838960	2	11	9
ms	pmid: 21838960	4	20	13
ms	pmid: 22336698	3	12	10
ms	pmid: 23017732	5	30	16
ms	pmid: 23291310	3	18	8
ms	pmid: 21898674	3	9	7
ms	pmid: 23836941	3	15	5
ms	pmid: 22432421	5	30	23
ms	pmid: 22499213	3	24	12
ms	pmid: 23328079	5	44	34
ms	pmid: 22917609	4	22	18
ms	pmid: 22677677	3	31	18
ms	pmid: 22100760	5	38	12
ms	pmid: 22844681	4	22	6
ms	pmid: 22691759	3	26	24
ms	pmid: 21512739	2	11	7
ms	pmid: 23208410	2	17	7
ms	pmid: 23208410	3	14	2
ms	pmid: 24156060	2	17	8
ms	pmid: 24156060	4	25	19
ms	pmid: 23051967	5	39	25
ms	pmid: 22672939	2	23	21
ms	pmid: 22672939	3	20	17
ms	pmid: 22236888	3	9	3
ms	pmid: 24179729	3	19	17
ms	pmid: 22267202	12	28	7
ms	pmid: 23895517	2	10	8
ms	pmid: 23895517	4	26	8
ms	pmid: 22134193	3	20	15
ms	pmid: 21041051	2	17	8
ms	pmid: 21041051	3	39	26
ms	pmid: 21041051	6	27	7
ms	pmid: 23983847	3	21	19
ms	pmid: 23983847	4	23	6
ms	pmid: 23983847	7	25	14
ms	pmid: 23983847	8	21	7
ms	pmid: 22509268	2	11	8
ms	pmid: 22509268	3	22	4
ms	pmid: 21956376	2	14	10
ms	pmid: 21956376	5	23	8
ms	pmid: 21956376	6	24	18
ms	pmid: 22255632	2	18	12
ms	pmid: 22255632	3	30	17
ms	pmid: 23421098	6	26	17
ms	pmid: 22695538	2	16	8
ms	pmid: 22695538	3	10	8
ms	pmid: 23487294	2	17	12
ms	pmid: 23487294	3	34	28
ms	pmid: 23610432	8	12	2
ms	pmid: 23610432	9	27	13
