GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
2011	pmid: 22108845	11	6	3
6285	pmid: 21958956	8	28	26
2011	pmid: 21958956	15	5	3
2011	pmid: 22257426	13	6	3
4280	pmid: 23540404	3	24	19
4280	pmid: 23540404	4	16	8
4280	pmid: 23540404	5	19	17
2011	pmid: 22072381	12	6	3
3676	pmid: 22050952	7	19	7
3676	pmid: 22050952	8	34	14
3676	pmid: 22050952	9	28	8
3676	pmid: 22050952	10	21	13
3676	pmid: 22050952	13	11	10
3676	pmid: 22050952	14	18	13
3676	pmid: 22050952	15	17	6
3676	pmid: 22050952	16	21	3
2011	pmid: 22050952	17	5	3
361	pmid: 22551731	12	27	19
1319	pmid: 22829325	3	23	8
9215	pmid: 23223533	3	29	5
1319	pmid: 23223533	8	16	15
4029	pmid: 22388887	7	44	39
55364	pmid: 22475104	3	28	12
2012	pmid: 23246200	12	5	3
10752	pmid: 23807832	13	13	9
1057	pmid: 23061676	4	22	13
79885	pmid: 23061676	10	20	9
203228	pmid: 23415570	7	22	3
2013	pmid: 23415570	9	5	3
2011	pmid: 21992208	8	5	2
55364	pmid: 23475517	5	42	23
9215	pmid: 23475517	5	42	22
57473	pmid: 23475517	10	14	7
9215	pmid: 23475517	13	28	18
2012	pmid: 22377454	13	5	3
6749	pmid: 23439547	4	31	4
1934	pmid: 21920559	4	36	24
2011	pmid: 21920559	16	5	3
55364	pmid: 21781056	10	18	11
2011	pmid: 21781056	11	7	2
54795	pmid: 23796873	3	22	11
54795	pmid: 23796873	4	31	15
54795	pmid: 23796873	6	17	9
2013	pmid: 23796873	7	5	3
1057	pmid: 21875613	5	67	54
2011	pmid: 21875613	7	5	3
1057	pmid: 21310238	9	36	28
2011	pmid: 21310238	11	5	3
2012	pmid: 22741530	15	11	10
51284	pmid: 22619481	2	12	11
1057	pmid: 22619481	3	24	10
51284	pmid: 22619481	4	41	20
51284	pmid: 22619481	6	24	12
4280	pmid: 22619481	7	24	23
361	pmid: 22069320	4	27	17
361	pmid: 22069320	5	20	9
1057	pmid: 22069320	5	20	12
1057	pmid: 22069320	6	19	10
361	pmid: 22069320	7	9	3
6506	pmid: 22069320	8	24	10
361	pmid: 22069320	9	24	11
361	pmid: 22069320	10	27	17
6506	pmid: 22069320	10	27	10
2691	pmid: 21846799	5	36	32
4280	pmid: 21846799	7	15	2
2691	pmid: 21846799	8	26	22
4280	pmid: 21846799	8	26	2
1319	pmid: 21846799	9	20	18
4280	pmid: 21846799	10	13	2
4280	pmid: 21846799	11	20	10
1057	pmid: 23516103	4	26	13
4280	pmid: 22898371	3	20	4
4280	pmid: 22898371	5	24	13
3558	pmid: 22898371	8	29	26
2012	pmid: 22898371	11	5	3
4615	pmid: 23269203	2	18	5
4615	pmid: 23269203	7	18	6
4615	pmid: 23269203	8	21	7
2012	pmid: 23269203	11	5	3
2011	pmid: 22098646	7	11	3
1319	pmid: 22443542	9	22	16
1057	pmid: 22443542	11	33	32
100507436	pmid: 22184268	5	18	10
4277	pmid: 22184268	5	18	12
100507436	pmid: 22184268	6	27	6
4277	pmid: 22184268	6	27	8
4277	pmid: 22184268	7	24	17
4277	pmid: 22184268	8	38	30
2011	pmid: 22680341	23	4	2
2011	pmid: 22680341	24	11	7
5550	pmid: 22344579	2	17	2
83985	pmid: 22344579	4	38	11
83985	pmid: 22344579	5	45	35
5550	pmid: 22344579	5	45	15
83985	pmid: 22344579	7	30	4
