GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
1057	pmid: 22241445	8	36	25
6643	pmid: 22240790	5	20	12
1057	pmid: 22238308	6	36	22
1057	pmid: 22238308	7	26	14
1057	pmid: 22238308	8	22	15
1057	pmid: 22238308	10	34	12
1057	pmid: 22238308	11	27	2
1057	pmid: 22238072	5	23	6
55364	pmid: 22237731	3	14	3
2004	pmid: 22237731	4	24	22
2155	pmid: 22237731	8	6	3
2004	pmid: 22237731	9	18	11
2009	pmid: 22237731	9	18	15
2012	pmid: 22237731	18	9	3
1934	pmid: 22237676	2	14	11
1057	pmid: 22237676	3	19	10
1934	pmid: 22237676	3	19	9
1057	pmid: 22237676	8	37	23
1934	pmid: 22237676	8	37	22
1057	pmid: 22237676	14	11	3
1934	pmid: 22237676	14	11	2
1057	pmid: 22237676	16	14	12
1934	pmid: 22237676	16	14	11
55364	pmid: 22237148	4	24	18
3845	pmid: 22234980	2	15	5
4280	pmid: 22234980	4	23	17
4280	pmid: 22234980	5	80	55
4280	pmid: 22234980	6	48	14
