GeneName	PMID	Line index	The # of total tokens in sentence	Token Location in sentence
120892	pmid: 21850687	11	18	14
1057	pmid: 21850687	11	18	17
1820	pmid: 21850279	13	25	7
4280	pmid: 21849493	6	47	44
168400	pmid: 21847085	14	12	9
4280	pmid: 21846727	2	16	5
4280	pmid: 21846727	6	18	5
4280	pmid: 21846727	8	30	22
4280	pmid: 21846727	9	14	4
4280	pmid: 21846727	11	40	18
1057	pmid: 21846476	2	20	13
1057	pmid: 21846476	4	15	11
1057	pmid: 21846476	5	27	21
5694	pmid: 21846476	8	25	12
7528	pmid: 21846476	8	25	12
1057	pmid: 21846476	9	32	22
1057	pmid: 21846476	10	16	15
4280	pmid: 21846476	11	19	14
1934	pmid: 21843964	6	28	5
120892	pmid: 21842440	2	11	2
9215	pmid: 21839478	5	17	10
1057	pmid: 21838671	4	26	22
6622	pmid: 21838671	4	26	11
2005	pmid: 21832214	5	44	17
55364	pmid: 21832061	13	13	6
9215	pmid: 21831682	3	29	2
2629	pmid: 21831682	4	48	22
55364	pmid: 21831400	4	22	15
9215	pmid: 21829612	3	37	14
6622	pmid: 21829596	3	20	18
5071	pmid: 21829596	4	28	17
120892	pmid: 21829596	5	23	18
5071	pmid: 21829596	5	23	22
5071	pmid: 21829596	8	27	14
80005	pmid: 21829596	9	18	15
84669	pmid: 21829596	9	18	13
80005	pmid: 21829596	12	25	2
1057	pmid: 21829596	13	22	21
84669	pmid: 21829596	14	33	2
5071	pmid: 21829596	15	17	7
55364	pmid: 21829225	4	37	9
4000	pmid: 21829225	7	31	4
1057	pmid: 21829225	9	32	4
9215	pmid: 21825238	5	20	7
1000	pmid: 21825080	6	23	20
22900	pmid: 21822547	3	29	6
1057	pmid: 21821107	7	29	5
1057	pmid: 21815648	5	37	8
1057	pmid: 21815648	11	44	37
4217	pmid: 21815648	11	44	13
4217	pmid: 21815648	14	22	3
1057	pmid: 21815648	16	11	10
4217	pmid: 21815648	16	11	5
4217	pmid: 21815648	17	26	4
3178	pmid: 21813140	5	19	2
1572	pmid: 21813140	5	19	11
1718	pmid: 21813140	5	19	17
683	pmid: 21812969	4	32	30
6622	pmid: 21812969	4	32	16
10497	pmid: 21812969	12	28	22
120892	pmid: 21812969	13	72	58
683	pmid: 21812969	13	72	25
27074	pmid: 21812969	13	72	38
6622	pmid: 21812969	13	72	10
1057	pmid: 21812497	8	32	16
1057	pmid: 21812497	11	26	6
120892	pmid: 21812418	4	36	27
120892	pmid: 21812418	5	15	14
1326	pmid: 21811303	5	46	4
1326	pmid: 21811303	9	29	3
9215	pmid: 21811303	12	27	19
5426	pmid: 21811128	9	19	11
11315	pmid: 21810464	4	26	15
2562	pmid: 21809259	6	19	3
120892	pmid: 21806997	5	35	7
9215	pmid: 21806997	7	36	9
1057	pmid: 21806997	11	22	21
4280	pmid: 21806997	11	22	19
10541	pmid: 21804282	6	44	25
1999	pmid: 21804282	6	44	23
8741	pmid: 21804282	6	44	25
9215	pmid: 21804282	12	33	9
55364	pmid: 21804280	2	11	7
9215	pmid: 21804006	12	8	7
1057	pmid: 21803216	6	21	3
